cancellation_id,subscription_id,cancellation_date,cancellation_reason,voluntary_churn,save_offer_presented,save_offer_accepted
CAN000075,SUB0000237,2025-02-15,Payment Failure,0,0,0
CAN000076,SUB0000238,2025-11-22,Too Expensive,1,0,0
CAN000077,SUB0000241,2025-02-20,Other,1,1,0
CAN000078,SUB0000243,2025-02-23,Competitor,1,1,0
CAN000079,SUB0000244,2025-08-25,Temporary Need Ended,1,0,0
CAN000080,SUB0000245,2026-02-26,Competitor,1,0,0
CAN000081,SUB0000254,2024-05-29,Too Expensive,1,1,0
CAN000082,SUB0000257,2024-07-26,Too Expensive,1,1,0
CAN000083,SUB0000258,2025-07-27,Product Not Needed,1,1,0
CAN000084,SUB0000264,2025-08-14,Product Usability,1,1,0
CAN000085,SUB0000265,2025-08-14,Product Not Needed,1,0,0
CAN000086,SUB0000269,2025-09-23,Payment Failure,0,0,0
CAN000087,SUB0000270,2025-01-18,Other,1,0,0
CAN000088,SUB0000275,2025-04-10,Other,1,1,0
CAN000089,SUB0000279,2026-02-21,Competitor,1,1,0
CAN000090,SUB0000283,2024-08-14,Product Not Needed,1,1,0
CAN000091,SUB0000284,2025-09-21,Temporary Need Ended,1,0,0
CAN000092,SUB0000285,2025-04-25,Competitor,1,1,0
CAN000093,SUB0000288,2026-01-19,Product Not Needed,1,0,0
CAN000094,SUB0000291,2024-05-24,Low Usage,1,0,0
CAN000095,SUB0000293,2025-03-11,Too Expensive,1,0,0
CAN000096,SUB0000294,2025-10-26,Too Expensive,1,1,0
CAN000097,SUB0000303,2024-09-27,Low Usage,1,1,0
CAN000098,SUB0000311,2026-06-25,Competitor,1,1,0
CAN000099,SUB0000316,2026-02-19,Competitor,1,0,0
CAN000100,SUB0000318,2025-12-26,Temporary Need Ended,1,0,0
CAN000101,SUB0000319,2025-03-23,Too Expensive,1,1,0
CAN000102,SUB0000320,2025-12-22,Product Not Needed,1,0,0
CAN000103,SUB0000324,2026-01-18,Product Not Needed,1,0,0
CAN000104,SUB0000327,2025-02-17,Product Not Needed,1,0,0
CAN000105,SUB0000328,2026-03-18,Payment Failure,0,0,0
CAN000106,SUB0000330,2026-03-15,Too Expensive,1,0,0
CAN000107,SUB0000331,2025-08-13,Product Not Needed,1,1,0
CAN000108,SUB0000332,2026-04-16,Payment Failure,0,0,0
CAN000109,SUB0000337,2024-11-13,Competitor,1,1,0
CAN000110,SUB0000338,2025-12-23,Poor Support Experience,1,1,0
CAN000111,SUB0000339,2026-06-09,Competitor,1,0,0
CAN000112,SUB0000341,2025-01-27,Product Not Needed,1,0,0
CAN000113,SUB0000342,2026-05-29,Product Not Needed,1,1,0
CAN000114,SUB0000343,2026-01-18,Competitor,1,1,0
CAN000115,SUB0000345,2024-09-24,Product Not Needed,1,1,0
CAN000116,SUB0000347,2026-02-27,Product Not Needed,1,1,0
CAN000117,SUB0000353,2025-10-10,Product Not Needed,1,0,0
CAN000118,SUB0000354,2025-07-28,Payment Failure,0,0,0
CAN000119,SUB0000355,2025-05-16,Too Expensive,1,1,0
CAN000120,SUB0000356,2026-04-30,Product Not Needed,1,0,0
CAN000121,SUB0000358,2025-06-27,Other,1,1,0
CAN000122,SUB0000359,2026-03-10,Too Expensive,1,1,0
CAN000123,SUB0000364,2025-07-10,Payment Failure,0,0,0
CAN000124,SUB0000365,2025-08-13,Product Not Needed,1,1,0
CAN000125,SUB0000368,2025-12-16,Temporary Need Ended,1,1,0
CAN000126,SUB0000371,2026-06-16,Too Expensive,1,0,0
CAN000127,SUB0000378,2025-12-22,Product Usability,1,1,0
CAN000128,SUB0000387,2025-06-25,Payment Failure,0,0,0
CAN000129,SUB0000390,2026-01-28,Too Expensive,1,1,0
CAN000130,SUB0000392,2025-08-14,Temporary Need Ended,1,0,0
CAN000131,SUB0000396,2025-11-13,Temporary Need Ended,1,0,0
CAN000132,SUB0000399,2025-05-19,Competitor,1,1,0
CAN000133,SUB0000401,2024-11-19,Too Expensive,1,1,0
CAN000134,SUB0000407,2026-03-25,Product Not Needed,1,1,0
CAN000135,SUB0000409,2024-09-11,Too Expensive,1,1,0
CAN000136,SUB0000412,2026-01-19,Competitor,1,0,0
CAN000137,SUB0000419,2024-07-20,Temporary Need Ended,1,0,0
CAN000138,SUB0000419,2025-02-20,Product Not Needed,1,0,0
CAN000139,SUB0000426,2024-07-31,Too Expensive,1,0,0
CAN000140,SUB0000428,2024-09-29,Competitor,1,1,0
CAN000141,SUB0000428,2026-06-23,Too Expensive,1,0,0
CAN000142,SUB0000429,2025-09-26,Competitor,1,1,0
CAN000143,SUB0000430,2025-03-10,Product Not Needed,1,0,0
CAN000144,SUB0000431,2025-11-30,Temporary Need Ended,1,0,0
CAN000145,SUB0000432,2025-06-17,Too Expensive,1,1,0
CAN000146,SUB0000433,2026-05-18,Competitor,1,0,0
CAN000147,SUB0000441,2025-06-27,Low Usage,1,0,0
CAN000148,SUB0000444,2024-06-25,Payment Failure,0,0,0
CAN000149,SUB0000447,2025-08-15,Product Not Needed,1,1,0
CAN000150,SUB0000449,2024-05-25,Competitor,1,1,0
CAN000151,SUB0000451,2025-01-16,Payment Failure,0,0,0
CAN000152,SUB0000452,2025-11-14,Product Usability,1,0,0
CAN000153,SUB0000454,2025-06-23,Product Not Needed,1,0,0
CAN000154,SUB0000455,2026-03-29,Competitor,1,0,0
CAN000155,SUB0000459,2024-08-27,Other,1,1,0
CAN000156,SUB0000460,2025-07-31,Competitor,1,0,0
CAN000157,SUB0000462,2025-02-13,Temporary Need Ended,1,0,0
CAN000158,SUB0000463,2025-12-28,Product Not Needed,1,1,0
CAN000159,SUB0000464,2026-01-17,Temporary Need Ended,1,1,0
CAN000160,SUB0000468,2025-05-31,Payment Failure,0,0,0
CAN000161,SUB0000469,2025-06-19,Payment Failure,0,0,0
CAN000162,SUB0000470,2024-08-10,Product Usability,1,0,0
CAN000163,SUB0000475,2025-08-19,Other,1,0,0
CAN000164,SUB0000476,2025-11-29,Technical Problems,1,0,0
CAN000165,SUB0000477,2026-03-11,Competitor,1,0,0
CAN000166,SUB0000480,2024-10-12,Competitor,1,0,0
CAN000167,SUB0000482,2024-08-12,Product Not Needed,1,0,0
CAN000168,SUB0000483,2024-09-25,Product Not Needed,1,0,0
CAN000169,SUB0000485,2024-11-26,Payment Failure,0,0,0
CAN000170,SUB0000486,2025-04-30,Other,1,0,0
CAN000171,SUB0000489,2025-08-15,Product Not Needed,1,1,0
CAN000172,SUB0000495,2024-04-16,Payment Failure,0,0,0
CAN000173,SUB0000497,2024-10-27,Low Usage,1,0,0
CAN000174,SUB0000500,2025-05-18,Product Not Needed,1,0,0
CAN000175,SUB0000501,2026-06-26,Competitor,1,1,0
CAN000176,SUB0000504,2026-03-09,Product Not Needed,1,1,0
CAN000177,SUB0000508,2026-03-20,Product Not Needed,1,0,0
CAN000178,SUB0000511,2024-11-21,Competitor,1,0,0
CAN000179,SUB0000518,2026-01-22,Product Not Needed,1,1,0
CAN000180,SUB0000521,2025-05-24,Payment Failure,0,0,0
CAN000181,SUB0000525,2025-10-17,Low Usage,1,0,0
CAN000182,SUB0000531,2026-05-16,Product Not Needed,1,0,0
CAN000183,SUB0000532,2026-01-26,Too Expensive,1,0,0
CAN000184,SUB0000536,2025-09-24,Too Expensive,1,1,0
CAN000185,SUB0000539,2026-06-11,Product Not Needed,1,0,0
CAN000186,SUB0000540,2025-06-17,Too Expensive,1,1,0
CAN000187,SUB0000543,2026-06-12,Too Expensive,1,0,0
CAN000188,SUB0000544,2026-03-16,Temporary Need Ended,1,0,0
CAN000189,SUB0000545,2025-08-13,Competitor,1,0,0
CAN000190,SUB0000547,2025-06-17,Poor Support Experience,1,1,0
CAN000191,SUB0000548,2024-07-15,Too Expensive,1,1,0
CAN000192,SUB0000549,2025-02-17,Product Not Needed,1,1,0
CAN000193,SUB0000553,2025-09-17,Too Expensive,1,0,0
CAN000194,SUB0000556,2026-04-12,Temporary Need Ended,1,0,0
CAN000195,SUB0000557,2026-04-13,Product Not Needed,1,0,0
CAN000196,SUB0000568,2026-01-24,Other,1,0,0
CAN000197,SUB0000572,2024-12-25,Competitor,1,0,0
CAN000198,SUB0000574,2025-11-11,Too Expensive,1,0,0
CAN000199,SUB0000575,2026-01-24,Other,1,0,0
CAN000200,SUB0000579,2026-06-29,Temporary Need Ended,1,0,0
CAN000201,SUB0000582,2026-04-10,Too Expensive,1,0,0
CAN000202,SUB0000587,2026-03-14,Low Usage,1,1,0
CAN000203,SUB0000590,2026-04-24,Low Usage,1,1,0
CAN000204,SUB0000593,2026-04-25,Technical Problems,1,1,0
CAN000205,SUB0000596,2025-05-18,Too Expensive,1,1,0
CAN000206,SUB0000600,2025-03-21,Other,1,0,0
CAN000207,SUB0000601,2025-05-17,Product Not Needed,1,1,0
CAN000208,SUB0000604,2025-04-20,Too Expensive,1,0,0
CAN000209,SUB0000609,2026-03-31,Product Not Needed,1,1,0
CAN000210,SUB0000612,2025-06-28,Temporary Need Ended,1,0,0
CAN000211,SUB0000613,2026-02-13,Too Expensive,1,0,0
CAN000212,SUB0000614,2026-02-25,Competitor,1,0,0
CAN000213,SUB0000616,2025-08-11,Product Not Needed,1,1,0
CAN000214,SUB0000621,2026-05-27,Competitor,1,1,0
CAN000215,SUB0000625,2026-06-16,Too Expensive,1,1,0
CAN000216,SUB0000628,2024-07-25,Too Expensive,1,0,0
CAN000217,SUB0000633,2025-11-22,Product Not Needed,1,1,0
CAN000218,SUB0000637,2024-08-21,Competitor,1,0,0
CAN000219,SUB0000640,2025-08-21,Other,1,1,0
CAN000220,SUB0000643,2026-04-22,Too Expensive,1,0,0
CAN000221,SUB0000644,2026-05-27,Competitor,1,1,0
CAN000222,SUB0000645,2025-11-17,Too Expensive,1,1,0
CAN000223,SUB0000647,2025-03-15,Too Expensive,1,0,0
CAN000224,SUB0000649,2026-05-18,Too Expensive,1,0,0
CAN000225,SUB0000654,2024-11-24,Competitor,1,0,0
CAN000226,SUB0000655,2025-09-21,Low Usage,1,1,0
CAN000227,SUB0000656,2025-08-09,Product Not Needed,1,0,0
CAN000228,SUB0000658,2025-12-14,Too Expensive,1,1,0
CAN000229,SUB0000665,2026-04-16,Other,1,1,0
CAN000230,SUB0000666,2025-07-12,Temporary Need Ended,1,1,0
CAN000231,SUB0000666,2025-10-21,Product Not Needed,1,0,0
CAN000232,SUB0000671,2025-02-24,Product Usability,1,0,0
CAN000233,SUB0000672,2026-05-13,Low Usage,1,1,0
CAN000234,SUB0000678,2024-12-16,Product Usability,1,0,0
CAN000235,SUB0000684,2024-07-23,Other,1,0,0
CAN000236,SUB0000686,2025-11-11,Temporary Need Ended,1,0,0
CAN000237,SUB0000695,2026-02-14,Other,1,1,0
CAN000238,SUB0000703,2025-10-21,Too Expensive,1,0,0
CAN000239,SUB0000704,2026-06-23,Low Usage,1,1,0
CAN000240,SUB0000708,2025-04-09,Low Usage,1,0,0
CAN000241,SUB0000708,2025-12-28,Product Usability,1,0,0
CAN000242,SUB0000711,2025-04-11,Too Expensive,1,0,0
CAN000243,SUB0000711,2026-02-22,Product Not Needed,1,0,0
CAN000244,SUB0000711,2026-04-17,Poor Support Experience,1,1,0
CAN000245,SUB0000714,2026-06-25,Too Expensive,1,0,0
CAN000246,SUB0000718,2026-01-21,Too Expensive,1,0,0
CAN000247,SUB0000721,2024-08-09,Competitor,1,0,0
CAN000248,SUB0000725,2025-06-23,Payment Failure,0,0,0
CAN000249,SUB0000726,2025-07-29,Temporary Need Ended,1,0,0
CAN000250,SUB0000729,2024-10-23,Payment Failure,0,0,0
CAN000251,SUB0000730,2025-07-12,Temporary Need Ended,1,0,0
CAN000252,SUB0000731,2025-06-11,Temporary Need Ended,1,0,0
CAN000253,SUB0000731,2026-02-20,Too Expensive,1,1,0
CAN000254,SUB0000731,2026-03-20,Payment Failure,0,0,0
CAN000255,SUB0000737,2025-03-18,Low Usage,1,0,0
CAN000256,SUB0000747,2025-08-25,Payment Failure,0,0,0
CAN000257,SUB0000749,2024-10-17,Other,1,0,0
CAN000258,SUB0000750,2025-09-24,Payment Failure,0,0,0
CAN000259,SUB0000751,2025-01-09,Too Expensive,1,1,0
CAN000260,SUB0000753,2026-04-23,Competitor,1,0,0
CAN000261,SUB0000754,2025-10-20,Payment Failure,0,0,0
CAN000262,SUB0000756,2026-03-25,Competitor,1,1,0
CAN000263,SUB0000759,2026-06-15,Too Expensive,1,1,0
CAN000264,SUB0000761,2025-04-29,Temporary Need Ended,1,0,0
CAN000265,SUB0000764,2024-10-22,Product Not Needed,1,1,0
CAN000266,SUB0000765,2026-02-15,Product Not Needed,1,0,0
CAN000267,SUB0000766,2025-09-18,Competitor,1,0,0
CAN000268,SUB0000767,2026-02-27,Payment Failure,0,0,0
CAN000269,SUB0000771,2024-07-18,Product Not Needed,1,0,0
CAN000270,SUB0000774,2025-02-10,Product Not Needed,1,1,0
CAN000271,SUB0000780,2025-05-23,Too Expensive,1,0,0
CAN000272,SUB0000783,2026-05-09,Temporary Need Ended,1,0,0
CAN000273,SUB0000784,2025-11-17,Too Expensive,1,1,0
CAN000274,SUB0000785,2026-03-27,Product Not Needed,1,0,0
CAN000275,SUB0000787,2025-08-24,Payment Failure,0,0,0
CAN000276,SUB0000790,2026-05-09,Temporary Need Ended,1,0,0
CAN000277,SUB0000796,2026-03-15,Too Expensive,1,1,0
CAN000278,SUB0000799,2025-07-26,Low Usage,1,0,0
CAN000279,SUB0000800,2026-01-25,Competitor,1,1,0
CAN000280,SUB0000800,2026-02-25,Temporary Need Ended,1,0,0
CAN000281,SUB0000800,2026-06-28,Too Expensive,1,0,0
CAN000282,SUB0000802,2025-02-10,Product Not Needed,1,1,0
CAN000283,SUB0000807,2025-01-09,Competitor,1,0,0
CAN000284,SUB0000812,2024-02-13,Product Usability,1,1,0
CAN000285,SUB0000813,2025-10-28,Poor Support Experience,1,1,0
CAN000286,SUB0000814,2026-01-21,Temporary Need Ended,1,1,0
CAN000287,SUB0000818,2025-03-31,Poor Support Experience,1,0,0
CAN000288,SUB0000823,2026-02-11,Payment Failure,0,0,0
CAN000289,SUB0000824,2026-04-29,Payment Failure,0,0,0
CAN000290,SUB0000825,2025-10-28,Too Expensive,1,1,0
CAN000291,SUB0000827,2026-06-18,Too Expensive,1,1,0
CAN000292,SUB0000828,2026-05-29,Technical Problems,1,0,0
CAN000293,SUB0000830,2026-02-23,Payment Failure,0,0,0
CAN000294,SUB0000831,2026-03-19,Too Expensive,1,0,0
CAN000295,SUB0000833,2026-01-18,Payment Failure,0,0,0
CAN000296,SUB0000842,2024-09-18,Product Not Needed,1,1,0
CAN000297,SUB0000843,2025-04-13,Competitor,1,0,0
CAN000298,SUB0000844,2025-07-24,Low Usage,1,1,0
CAN000299,SUB0000845,2024-09-21,Product Not Needed,1,1,0
CAN000300,SUB0000852,2026-06-28,Temporary Need Ended,1,1,0
CAN000301,SUB0000857,2025-01-20,Too Expensive,1,1,0
CAN000302,SUB0000862,2026-06-17,Product Not Needed,1,1,0
CAN000303,SUB0000871,2025-08-25,Technical Problems,1,0,0
CAN000304,SUB0000873,2025-11-10,Temporary Need Ended,1,0,0
CAN000305,SUB0000874,2025-11-24,Competitor,1,1,0
CAN000306,SUB0000875,2024-11-12,Product Not Needed,1,1,0
CAN000307,SUB0000876,2026-06-09,Product Not Needed,1,0,0
CAN000308,SUB0000877,2026-03-15,Other,1,1,0
CAN000309,SUB0000879,2025-12-20,Competitor,1,1,0
CAN000310,SUB0000884,2025-11-23,Low Usage,1,0,0
CAN000311,SUB0000885,2025-02-22,Other,1,0,0
CAN000312,SUB0000886,2026-01-23,Competitor,1,1,0
CAN000313,SUB0000887,2025-04-21,Temporary Need Ended,1,0,0
CAN000314,SUB0000888,2026-01-22,Temporary Need Ended,1,0,0
CAN000315,SUB0000891,2025-03-20,Temporary Need Ended,1,0,0
CAN000316,SUB0000898,2025-10-24,Too Expensive,1,1,0
CAN000317,SUB0000900,2025-08-28,Payment Failure,0,0,0
CAN000318,SUB0000901,2024-12-12,Competitor,1,0,0
CAN000319,SUB0000902,2026-02-17,Product Not Needed,1,1,0
CAN000320,SUB0000905,2025-06-17,Low Usage,1,0,0
CAN000321,SUB0000906,2025-09-19,Product Usability,1,1,0
CAN000322,SUB0000910,2025-06-23,Temporary Need Ended,1,1,0
CAN000323,SUB0000911,2026-05-10,Other,1,0,0
CAN000324,SUB0000915,2025-06-27,Technical Problems,1,1,0
CAN000325,SUB0000916,2024-08-26,Product Not Needed,1,0,0
CAN000326,SUB0000923,2025-02-17,Other,1,0,0
CAN000327,SUB0000925,2025-01-14,Temporary Need Ended,1,1,0
CAN000328,SUB0000926,2025-08-11,Competitor,1,0,0
CAN000329,SUB0000935,2024-07-22,Product Not Needed,1,1,0
CAN000330,SUB0000937,2025-11-14,Too Expensive,1,1,0
CAN000331,SUB0000942,2026-05-21,Product Usability,1,0,0
CAN000332,SUB0000948,2026-04-13,Product Not Needed,1,1,0
CAN000333,SUB0000949,2025-07-11,Product Not Needed,1,0,0
CAN000334,SUB0000950,2024-05-14,Temporary Need Ended,1,1,0
CAN000335,SUB0000952,2025-03-16,Low Usage,1,0,0
CAN000336,SUB0000953,2026-05-22,Product Not Needed,1,0,0
CAN000337,SUB0000954,2024-11-24,Product Not Needed,1,0,0
CAN000338,SUB0000957,2025-05-16,Temporary Need Ended,1,0,0
CAN000339,SUB0000959,2025-07-18,Payment Failure,0,0,0
CAN000340,SUB0000960,2024-12-17,Other,1,0,0
CAN000341,SUB0000962,2025-09-26,Competitor,1,1,0
CAN000342,SUB0000964,2024-04-24,Temporary Need Ended,1,1,0
CAN000343,SUB0000966,2024-12-30,Too Expensive,1,1,0
CAN000344,SUB0000970,2026-06-25,Product Not Needed,1,1,0
CAN000345,SUB0000971,2025-01-31,Too Expensive,1,1,0
CAN000346,SUB0000976,2025-11-19,Competitor,1,0,0
CAN000347,SUB0000984,2025-01-29,Too Expensive,1,1,0
CAN000348,SUB0000988,2025-03-29,Competitor,1,0,0
CAN000349,SUB0000993,2025-06-12,Low Usage,1,0,0
CAN000350,SUB0000995,2025-11-30,Competitor,1,0,0
CAN000351,SUB0001002,2026-04-22,Too Expensive,1,0,0
CAN000352,SUB0001005,2025-09-15,Too Expensive,1,0,0
CAN000353,SUB0001009,2026-02-18,Other,1,0,0
CAN000354,SUB0001012,2025-11-17,Payment Failure,0,0,0
CAN000355,SUB0001015,2025-03-27,Too Expensive,1,1,0
CAN000356,SUB0001016,2025-06-17,Payment Failure,0,0,0
CAN000357,SUB0001029,2025-08-23,Other,1,1,0
CAN000358,SUB0001030,2025-10-29,Too Expensive,1,1,0
CAN000359,SUB0001032,2025-09-15,Too Expensive,1,0,0
CAN000360,SUB0001033,2026-05-18,Product Not Needed,1,1,0
CAN000361,SUB0001037,2025-11-25,Competitor,1,0,0
CAN000362,SUB0001043,2025-05-28,Temporary Need Ended,1,0,0
CAN000363,SUB0001048,2025-10-17,Competitor,1,1,0
CAN000364,SUB0001050,2025-08-31,Too Expensive,1,0,0
CAN000365,SUB0001055,2026-05-18,Other,1,0,0
CAN000366,SUB0001060,2024-08-09,Product Usability,1,1,0
CAN000367,SUB0001069,2025-08-27,Temporary Need Ended,1,0,0
CAN000368,SUB0001074,2026-05-29,Technical Problems,1,1,0
CAN000369,SUB0001078,2024-12-15,Product Not Needed,1,0,0
CAN000370,SUB0001081,2025-06-09,Too Expensive,1,0,0
CAN000371,SUB0001083,2025-08-19,Product Not Needed,1,0,0
CAN000372,SUB0001084,2026-04-23,Product Not Needed,1,0,0
CAN000373,SUB0001085,2025-12-24,Product Not Needed,1,0,0
CAN000374,SUB0001089,2025-03-13,Product Not Needed,1,1,0
CAN000375,SUB0001093,2026-06-12,Product Not Needed,1,1,0
CAN000376,SUB0001096,2026-01-14,Too Expensive,1,1,0
CAN000377,SUB0001100,2026-04-23,Payment Failure,0,0,0
CAN000378,SUB0001106,2025-12-20,Low Usage,1,0,0
CAN000379,SUB0001110,2024-11-21,Low Usage,1,1,0
CAN000380,SUB0001111,2026-04-22,Competitor,1,0,0
CAN000381,SUB0001113,2026-06-11,Product Not Needed,1,0,0
CAN000382,SUB0001114,2026-06-19,Product Not Needed,1,1,0
CAN000383,SUB0001116,2025-12-20,Other,1,0,0
CAN000384,SUB0001121,2025-11-20,Temporary Need Ended,1,0,0
CAN000385,SUB0001123,2026-01-17,Competitor,1,1,0
CAN000386,SUB0001127,2026-06-29,Other,1,1,0
CAN000387,SUB0001128,2024-09-16,Too Expensive,1,1,0
CAN000388,SUB0001129,2025-06-24,Too Expensive,1,1,0
CAN000389,SUB0001130,2026-01-12,Too Expensive,1,1,0
CAN000390,SUB0001134,2025-02-21,Too Expensive,1,1,0
CAN000391,SUB0001135,2026-06-19,Product Not Needed,1,1,0
CAN000392,SUB0001139,2026-02-27,Payment Failure,0,0,0
CAN000393,SUB0001140,2024-06-30,Product Usability,1,0,0
CAN000394,SUB0001141,2025-10-18,Other,1,0,0
CAN000395,SUB0001143,2025-12-21,Product Not Needed,1,0,0
CAN000396,SUB0001144,2026-05-11,Too Expensive,1,1,0
CAN000397,SUB0001145,2025-09-29,Low Usage,1,0,0
CAN000398,SUB0001146,2025-03-20,Too Expensive,1,1,0
CAN000399,SUB0001147,2026-02-18,Product Not Needed,1,1,0
CAN000400,SUB0001154,2025-08-15,Payment Failure,0,0,0
CAN000401,SUB0001156,2025-07-24,Temporary Need Ended,1,0,0
CAN000402,SUB0001157,2026-03-30,Temporary Need Ended,1,1,0
CAN000403,SUB0001161,2026-06-20,Competitor,1,0,0
CAN000404,SUB0001166,2025-11-18,Product Not Needed,1,0,0
CAN000405,SUB0001167,2025-09-26,Product Not Needed,1,1,0
CAN000406,SUB0001169,2026-03-19,Too Expensive,1,0,0
CAN000407,SUB0001171,2025-12-24,Product Not Needed,1,1,0
CAN000408,SUB0001173,2025-03-31,Too Expensive,1,0,0
CAN000409,SUB0001177,2025-11-23,Payment Failure,0,0,0
CAN000410,SUB0001179,2026-01-13,Low Usage,1,0,0
CAN000411,SUB0001181,2026-06-17,Too Expensive,1,0,0
CAN000412,SUB0001185,2025-12-19,Low Usage,1,1,0
CAN000413,SUB0001188,2025-01-31,Other,1,0,0
CAN000414,SUB0001195,2025-05-26,Too Expensive,1,0,0
CAN000415,SUB0001197,2026-02-11,Payment Failure,0,0,0
CAN000416,SUB0001202,2024-04-26,Too Expensive,1,0,0
CAN000417,SUB0001216,2026-01-11,Product Not Needed,1,1,0
CAN000418,SUB0001218,2026-06-15,Low Usage,1,0,0
CAN000419,SUB0001222,2026-06-24,Too Expensive,1,0,0
CAN000420,SUB0001223,2025-12-30,Other,1,0,0
CAN000421,SUB0001224,2026-02-28,Product Not Needed,1,0,0
