contact_id,subscription_id,contact_date,channel,reason,resolved_first_contact,csat_score,refund_requested
CON00000056,SUB0000019,2024-12-13,Chat,Technical Issue,0,3,0
CON00000057,SUB0000019,2024-12-06,Phone,Feature Request,1,5,0
CON00000058,SUB0000019,2025-07-06,Chat,Technical Issue,0,4,0
CON00000059,SUB0000019,2025-10-02,Web Form,Account Access,1,5,0
CON00000060,SUB0000019,2026-05-19,Web Form,Technical Issue,1,4,0
CON00000061,SUB0000020,2024-11-24,Phone,Technical Issue,0,4,0
CON00000062,SUB0000020,2025-03-23,Chat,Plan Change,1,5,0
CON00000063,SUB0000020,2025-06-03,Email,Plan Change,1,5,0
CON00000064,SUB0000021,2025-08-27,Phone,Billing Question,0,5,0
CON00000065,SUB0000021,2025-10-18,Email,Technical Issue,0,3,0
CON00000066,SUB0000021,2026-05-02,Chat,Plan Change,0,4,0
CON00000067,SUB0000022,2025-11-26,Web Form,Plan Change,1,4,0
CON00000068,SUB0000022,2026-04-21,Phone,Feature Request,1,5,0
CON00000069,SUB0000024,2025-08-15,Email,Technical Issue,0,4,0
CON00000070,SUB0000024,2025-08-23,Chat,Feature Request,1,4,0
CON00000071,SUB0000024,2025-10-12,Email,Cancellation Inquiry,1,5,0
CON00000072,SUB0000024,2026-03-25,Web Form,Billing Question,0,4,0
CON00000073,SUB0000024,2026-05-13,Phone,Technical Issue,1,4,0
CON00000074,SUB0000025,2025-02-01,Web Form,Feature Request,1,4,0
CON00000075,SUB0000026,2025-11-21,Chat,Cancellation Inquiry,1,5,0
CON00000076,SUB0000026,2026-05-11,Phone,Cancellation Inquiry,0,4,0
CON00000077,SUB0000026,2026-06-22,Email,Billing Question,1,4,0
CON00000078,SUB0000026,2026-06-26,Chat,Feature Request,0,3,0
CON00000079,SUB0000029,2024-11-23,Phone,Billing Question,1,5,0
CON00000080,SUB0000029,2025-04-02,Phone,Plan Change,1,5,0
CON00000081,SUB0000029,2025-09-06,Email,Feature Request,1,5,0
CON00000082,SUB0000029,2026-01-12,Web Form,Billing Question,1,5,0
CON00000083,SUB0000029,2026-05-03,Web Form,Cancellation Inquiry,0,3,0
CON00000084,SUB0000030,2024-02-14,Phone,Payment Issue,0,3,1
CON00000085,SUB0000030,2024-02-12,Phone,Payment Issue,1,5,1
CON00000086,SUB0000030,2024-03-26,Phone,Technical Issue,1,5,0
CON00000087,SUB0000030,2024-11-12,Phone,Payment Issue,1,4,0
CON00000088,SUB0000030,2024-11-17,Web Form,Payment Issue,1,5,0
CON00000089,SUB0000030,2025-04-04,Phone,Feature Request,1,5,0
CON00000090,SUB0000030,2025-05-09,Phone,Technical Issue,1,5,0
CON00000091,SUB0000030,2025-07-15,Web Form,Billing Question,1,5,0
CON00000092,SUB0000030,2025-08-20,Phone,Plan Change,1,5,0
CON00000093,SUB0000030,2026-02-22,Phone,Billing Question,1,4,0
CON00000094,SUB0000031,2025-09-01,Chat,Cancellation Inquiry,1,4,0
CON00000095,SUB0000032,2025-02-26,Phone,Cancellation Inquiry,0,3,0
CON00000096,SUB0000032,2025-03-10,Web Form,Payment Issue,0,4,0
CON00000097,SUB0000033,2025-04-07,Chat,Account Access,1,5,0
CON00000098,SUB0000033,2026-05-22,Chat,Feature Request,1,4,0
CON00000099,SUB0000034,2024-01-04,Chat,Feature Request,1,5,0
CON00000100,SUB0000034,2024-07-15,Web Form,Cancellation Inquiry,0,3,0
CON00000101,SUB0000034,2024-10-16,Chat,Payment Issue,0,3,0
CON00000102,SUB0000034,2024-10-05,Web Form,Account Access,1,4,0
CON00000103,SUB0000034,2024-12-15,Chat,Feature Request,1,5,0
CON00000104,SUB0000034,2025-02-25,Chat,Account Access,1,5,0
CON00000105,SUB0000034,2025-04-01,Chat,Feature Request,1,4,0
CON00000106,SUB0000034,2025-08-10,Chat,Plan Change,1,5,0
CON00000107,SUB0000034,2025-08-12,Chat,Billing Question,0,4,0
CON00000108,SUB0000035,2025-09-01,Email,Billing Question,1,5,0
CON00000109,SUB0000035,2025-10-21,Chat,Feature Request,1,4,0
CON00000110,SUB0000035,2026-02-19,Phone,Billing Question,1,4,0
CON00000111,SUB0000035,2026-04-21,Phone,Billing Question,1,4,1
CON00000112,SUB0000036,2024-06-05,Phone,Billing Question,1,5,0
CON00000113,SUB0000036,2025-02-18,Email,Billing Question,1,5,0
CON00000114,SUB0000036,2025-03-23,Phone,Feature Request,1,5,0
CON00000115,SUB0000036,2025-10-25,Web Form,Payment Issue,0,4,0
CON00000116,SUB0000036,2025-10-07,Email,Payment Issue,1,5,0
CON00000117,SUB0000036,2025-11-18,Phone,Feature Request,1,5,0
CON00000118,SUB0000036,2026-02-11,Phone,Plan Change,1,5,0
CON00000119,SUB0000036,2026-06-05,Chat,Billing Question,1,4,0
CON00000120,SUB0000037,2025-12-12,Email,Plan Change,1,5,0
CON00000121,SUB0000037,2026-01-03,Chat,Technical Issue,1,5,0
CON00000122,SUB0000037,2026-02-01,Phone,Cancellation Inquiry,1,4,0
CON00000123,SUB0000038,2026-06-07,Email,Feature Request,1,5,0
CON00000124,SUB0000039,2025-03-05,Web Form,Technical Issue,0,4,0
CON00000125,SUB0000039,2025-04-01,Phone,Cancellation Inquiry,0,3,0
CON00000126,SUB0000041,2026-01-23,Email,Technical Issue,0,3,0
CON00000127,SUB0000041,2026-06-23,Email,Technical Issue,1,5,0
CON00000128,SUB0000042,2024-09-19,Email,Feature Request,1,4,0
CON00000129,SUB0000042,2024-12-19,Phone,Technical Issue,1,4,0
CON00000130,SUB0000042,2025-01-02,Phone,Feature Request,1,4,0
CON00000131,SUB0000042,2025-02-16,Email,Account Access,1,4,0
CON00000132,SUB0000043,2025-09-15,Chat,Plan Change,0,3,0
CON00000133,SUB0000043,2025-12-19,Phone,Technical Issue,1,5,0
CON00000134,SUB0000043,2026-05-22,Chat,Plan Change,1,5,0
CON00000135,SUB0000044,2025-07-21,Phone,Plan Change,0,3,0
CON00000136,SUB0000044,2025-10-10,Email,Cancellation Inquiry,0,4,0
CON00000137,SUB0000044,2025-11-03,Chat,Plan Change,1,4,0
CON00000138,SUB0000046,2026-04-26,Email,Account Access,1,4,0
CON00000139,SUB0000047,2025-11-23,Email,Account Access,1,5,0
CON00000140,SUB0000047,2025-11-25,Phone,Product Usability,1,4,0
CON00000141,SUB0000047,2026-04-24,Chat,Account Access,1,5,0
CON00000142,SUB0000047,2026-06-12,Chat,Technical Issue,0,4,0
CON00000143,SUB0000049,2025-07-23,Phone,Technical Issue,0,3,0
CON00000144,SUB0000049,2025-11-04,Phone,Technical Issue,1,4,0
CON00000145,SUB0000050,2026-02-11,Chat,Cancellation Inquiry,1,4,0
CON00000146,SUB0000050,2026-03-05,Phone,Account Access,1,5,0
CON00000147,SUB0000050,2026-05-02,Email,Product Usability,0,4,0
CON00000148,SUB0000052,2024-11-17,Chat,Account Access,1,5,0
CON00000149,SUB0000053,2024-04-04,Email,Cancellation Inquiry,0,4,0
CON00000150,SUB0000053,2024-06-11,Email,Feature Request,0,3,0
CON00000151,SUB0000053,2024-10-25,Email,Feature Request,0,4,0
CON00000152,SUB0000053,2024-11-12,Phone,Product Usability,0,4,0
CON00000153,SUB0000053,2025-01-05,Phone,Billing Question,0,4,0
CON00000154,SUB0000053,2025-02-19,Web Form,Feature Request,1,5,0
CON00000155,SUB0000054,2025-07-17,Email,Plan Change,1,5,0
CON00000156,SUB0000054,2026-06-06,Chat,Plan Change,0,3,0
CON00000157,SUB0000054,2026-06-06,Web Form,Account Access,0,4,0
CON00000158,SUB0000055,2025-10-27,Email,Cancellation Inquiry,1,4,0
CON00000159,SUB0000055,2026-03-03,Chat,Plan Change,1,5,0
CON00000160,SUB0000055,2026-06-03,Phone,Technical Issue,0,4,0
CON00000161,SUB0000056,2025-09-24,Chat,Technical Issue,1,5,0
CON00000162,SUB0000056,2026-02-22,Chat,Product Usability,1,5,0
CON00000163,SUB0000056,2026-04-19,Chat,Account Access,1,5,0
CON00000164,SUB0000056,2026-05-18,Email,Technical Issue,0,4,0
CON00000165,SUB0000057,2025-04-08,Web Form,Technical Issue,0,3,0
CON00000166,SUB0000057,2025-12-25,Chat,Plan Change,1,4,0
CON00000167,SUB0000058,2024-09-14,Phone,Technical Issue,1,5,0
CON00000168,SUB0000058,2024-09-17,Chat,Billing Question,1,5,0
CON00000169,SUB0000058,2024-10-22,Email,Account Access,1,5,0
CON00000170,SUB0000058,2025-02-13,Email,Technical Issue,1,5,0
CON00000171,SUB0000058,2025-02-23,Chat,Plan Change,0,3,0
CON00000172,SUB0000058,2025-04-22,Email,Cancellation Inquiry,1,5,0
CON00000173,SUB0000059,2025-04-25,Chat,Feature Request,0,3,0
CON00000174,SUB0000059,2025-06-12,Chat,Payment Issue,1,4,0
CON00000175,SUB0000059,2025-11-16,Chat,Plan Change,1,5,0
CON00000176,SUB0000059,2026-02-11,Web Form,Feature Request,1,4,0
CON00000177,SUB0000060,2025-04-06,Web Form,Cancellation Inquiry,1,4,0
CON00000178,SUB0000060,2026-01-11,Phone,Technical Issue,1,5,0
CON00000179,SUB0000060,2026-05-19,Chat,Billing Question,1,5,1
CON00000180,SUB0000061,2025-05-11,Chat,Plan Change,1,5,0
CON00000181,SUB0000061,2025-09-26,Email,Feature Request,0,3,0
CON00000182,SUB0000061,2026-02-03,Phone,Account Access,1,5,0
CON00000183,SUB0000061,2026-04-04,Email,Technical Issue,0,4,0
CON00000184,SUB0000062,2025-11-07,Phone,Technical Issue,1,4,0
CON00000185,SUB0000062,2025-11-06,Phone,Account Access,1,5,0
CON00000186,SUB0000062,2026-05-03,Phone,Billing Question,1,5,0
CON00000187,SUB0000062,2026-06-07,Phone,Technical Issue,0,3,0
CON00000188,SUB0000063,2026-04-22,Web Form,Plan Change,1,4,0
CON00000189,SUB0000064,2026-03-16,Chat,Payment Issue,0,3,1
CON00000190,SUB0000065,2025-07-19,Chat,Billing Question,1,5,0
CON00000191,SUB0000066,2024-08-13,Phone,Technical Issue,1,5,0
CON00000192,SUB0000066,2025-02-23,Email,Cancellation Inquiry,1,4,0
CON00000193,SUB0000068,2026-04-12,Phone,Plan Change,0,3,0
CON00000194,SUB0000068,2026-05-12,Chat,Feature Request,1,5,0
CON00000195,SUB0000068,2026-06-27,Web Form,Technical Issue,0,4,0
CON00000196,SUB0000069,2024-06-01,Chat,Plan Change,0,4,0
CON00000197,SUB0000069,2024-08-06,Email,Account Access,1,5,0
CON00000198,SUB0000069,2024-09-22,Email,Billing Question,1,5,1
CON00000199,SUB0000069,2024-10-24,Chat,Technical Issue,1,5,0
CON00000200,SUB0000070,2024-07-09,Chat,Technical Issue,0,4,0
CON00000201,SUB0000070,2024-11-19,Phone,Technical Issue,1,5,0
CON00000202,SUB0000070,2024-11-22,Phone,Feature Request,1,5,0
CON00000203,SUB0000070,2025-06-23,Chat,Billing Question,1,4,0
CON00000204,SUB0000070,2025-11-13,Chat,Account Access,1,5,0
CON00000205,SUB0000070,2026-01-16,Phone,Feature Request,1,4,0
CON00000206,SUB0000070,2026-03-16,Chat,Payment Issue,1,5,0
CON00000207,SUB0000070,2026-04-14,Chat,Payment Issue,1,4,0
CON00000208,SUB0000071,2025-01-05,Email,Feature Request,1,5,0
CON00000209,SUB0000071,2025-02-22,Phone,Billing Question,1,5,0
CON00000210,SUB0000071,2025-08-08,Phone,Product Usability,1,5,0
CON00000211,SUB0000073,2025-12-24,Email,Feature Request,1,5,0
CON00000212,SUB0000073,2026-03-05,Email,Cancellation Inquiry,0,4,0
CON00000213,SUB0000073,2026-06-04,Email,Plan Change,1,5,0
CON00000214,SUB0000073,2026-06-10,Chat,Payment Issue,1,4,0
CON00000215,SUB0000074,2025-06-23,Chat,Account Access,1,4,0
CON00000216,SUB0000074,2025-12-17,Phone,Billing Question,0,3,0
CON00000217,SUB0000076,2025-07-14,Chat,Technical Issue,1,5,0
CON00000218,SUB0000076,2025-09-21,Chat,Technical Issue,1,4,0
CON00000219,SUB0000076,2025-09-08,Phone,Feature Request,0,4,0
CON00000220,SUB0000076,2026-02-07,Chat,Technical Issue,1,4,0
CON00000221,SUB0000076,2026-05-12,Phone,Plan Change,0,3,0
CON00000222,SUB0000078,2026-01-04,Chat,Technical Issue,1,4,0
CON00000223,SUB0000078,2026-01-13,Phone,Plan Change,1,5,0
CON00000224,SUB0000078,2026-04-19,Phone,Billing Question,1,5,0
CON00000225,SUB0000078,2026-04-17,Phone,Plan Change,1,3,0
CON00000226,SUB0000079,2024-04-23,Chat,Technical Issue,1,5,0
CON00000227,SUB0000079,2024-05-15,Email,Feature Request,1,4,0
CON00000228,SUB0000079,2024-09-20,Chat,Feature Request,1,4,0
CON00000229,SUB0000079,2024-10-04,Phone,Feature Request,1,5,0
CON00000230,SUB0000079,2025-09-14,Email,Account Access,0,4,0
CON00000231,SUB0000079,2026-05-09,Phone,Account Access,1,5,0
CON00000232,SUB0000080,2025-11-08,Chat,Technical Issue,0,3,0
CON00000233,SUB0000080,2026-03-26,Email,Account Access,1,5,0
CON00000234,SUB0000080,2026-04-24,Chat,Plan Change,1,4,0
CON00000235,SUB0000081,2025-06-21,Chat,Cancellation Inquiry,1,5,0
CON00000236,SUB0000081,2025-10-22,Web Form,Product Usability,0,4,0
CON00000237,SUB0000081,2025-11-10,chat,Billing Question,1,5,0
CON00000238,SUB0000081,2026-05-15,Chat,Account Access,1,5,0
CON00000239,SUB0000082,2024-10-01,Phone,Account Access,0,4,0
CON00000240,SUB0000082,2024-12-15,Chat,Cancellation Inquiry,1,5,0
CON00000241,SUB0000082,2025-06-06,Email,Plan Change,1,5,0
CON00000242,SUB0000085,2026-03-19,Email,Technical Issue,1,4,0
CON00000243,SUB0000085,2026-05-01,Web Form,Account Access,1,5,0
CON00000244,SUB0000086,2026-06-14,Web Form,Feature Request,1,5,0
CON00000245,SUB0000087,2025-02-07,Phone,Feature Request,1,5,0
CON00000246,SUB0000087,2025-03-24,Phone,Plan Change,1,5,0
CON00000247,SUB0000087,2025-06-26,Web Form,Plan Change,0,4,0
CON00000248,SUB0000087,2025-09-21,Email,Product Usability,1,5,0
CON00000249,SUB0000087,2025-11-23,Email,Technical Issue,0,3,0
CON00000250,SUB0000087,2026-03-01,Phone,Billing Question,1,4,0
CON00000251,SUB0000088,2025-02-24,Phone,Billing Question,1,5,0
CON00000252,SUB0000088,2025-02-25,Email,Plan Change,0,4,0
CON00000253,SUB0000088,2025-10-07,Phone,Technical Issue,1,5,0
CON00000254,SUB0000088,2025-10-26,Web Form,Feature Request,1,3,0
CON00000255,SUB0000088,2025-11-01,Web Form,Payment Issue,1,5,0
CON00000256,SUB0000088,2025-11-06,Email,Payment Issue,1,4,0
CON00000257,SUB0000088,2026-01-24,Chat,Account Access,1,4,0
CON00000258,SUB0000088,2026-01-05,Email,Payment Issue,1,5,0
CON00000259,SUB0000088,2026-02-26,Phone,Plan Change,1,5,0
CON00000260,SUB0000088,2026-05-03,Web Form,Account Access,1,5,0
CON00000261,SUB0000088,2026-06-12,Phone,Billing Question,0,4,0
CON00000262,SUB0000089,2024-05-26,Email,Technical Issue,0,3,0
CON00000263,SUB0000089,2024-08-21,Web Form,Billing Question,1,5,0
CON00000264,SUB0000090,2026-04-08,Web Form,Billing Question,1,5,0
CON00000265,SUB0000091,2025-10-24,Email,Cancellation Inquiry,1,3,0
CON00000266,SUB0000091,2025-12-24, Email ,Technical Issue,0,5,0
CON00000267,SUB0000091,2026-02-06,Chat,Technical Issue,1,4,0
CON00000268,SUB0000092,2025-07-13,Phone,Account Access,1,5,0
CON00000269,SUB0000092,2025-08-14,Phone,Account Access,1,5,0
CON00000270,SUB0000092,2026-04-07,Phone,Plan Change,1,5,0
CON00000271,SUB0000092,2026-04-04,Email,Technical Issue,1,5,0
CON00000272,SUB0000092,2026-05-04,Chat,Cancellation Inquiry,1,4,0
CON00000273,SUB0000093,2024-09-26,Email,Cancellation Inquiry,1,5,0
CON00000274,SUB0000093,2025-06-22,Chat,Feature Request,1,5,0
CON00000275,SUB0000093,2025-10-17,Chat,Feature Request,1,5,0
CON00000276,SUB0000093,2026-06-25,Chat,Technical Issue,0,4,0
CON00000277,SUB0000094,2024-12-16,Email,Product Usability,1,4,0
CON00000278,SUB0000094,2025-02-15,Chat,Billing Question,1,4,1
CON00000279,SUB0000094,2025-03-12,Phone,Product Usability,1,5,0
CON00000280,SUB0000094,2025-07-01,Phone,Feature Request,1,5,0
CON00000281,SUB0000094,2025-08-15,Web Form,Cancellation Inquiry,1,5,0
CON00000282,SUB0000094,2025-08-05,Web Form,Cancellation Inquiry,1,4,0
CON00000283,SUB0000094,2025-09-09,Phone,Cancellation Inquiry,0,4,0
CON00000284,SUB0000094,2026-02-18,Web Form,Cancellation Inquiry,1,5,0
CON00000285,SUB0000095,2025-05-11,Phone,Cancellation Inquiry,1,4,0
CON00000286,SUB0000095,2025-05-20,Chat,Plan Change,1,5,0
CON00000287,SUB0000096,2026-03-21,Phone,Cancellation Inquiry,0,4,0
CON00000288,SUB0000096,2026-03-06,Email,Billing Question,1,3,0
CON00000289,SUB0000096,2026-06-03,Email,Billing Question,1,4,1
CON00000290,SUB0000098,2024-06-06,Phone,Technical Issue,0,3,0
CON00000291,SUB0000098,2024-09-01,Chat,Technical Issue,1,5,0
CON00000292,SUB0000098,2025-04-02,Email,Feature Request,1,5,0
CON00000293,SUB0000098,2025-07-09,Phone,Account Access,1,4,0
CON00000294,SUB0000098,2025-08-11,Web Form,Billing Question,1,5,0
CON00000295,SUB0000098,2026-01-02,Web Form,Technical Issue,1,4,0
CON00000296,SUB0000099,2024-05-10,Phone,Plan Change,1,4,0
CON00000297,SUB0000099,2025-01-21,Chat,Cancellation Inquiry,0,4,0
CON00000298,SUB0000101,2025-03-09,Phone,Billing Question,0,3,0
CON00000299,SUB0000102,2025-06-14,Email,Cancellation Inquiry,0,3,0
CON00000300,SUB0000102,2025-11-01,Phone,Feature Request,1,4,0
CON00000301,SUB0000102,2026-01-05,Phone,Payment Issue,1,4,0
CON00000302,SUB0000102,2026-03-10,Chat,Technical Issue,0,4,0
CON00000303,SUB0000102,2026-04-12,Chat,Cancellation Inquiry,0,3,0
CON00000304,SUB0000104,2026-01-13,Chat,Payment Issue,1,5,0
CON00000305,SUB0000104,2026-01-17,Email,Account Access,0,4,0
CON00000306,SUB0000105,2025-05-19,Chat,Feature Request,1,5,0
CON00000307,SUB0000106,2025-09-14,Chat,Feature Request,0,4,0
CON00000308,SUB0000106,2025-11-24,Chat,Payment Issue,1,5,0
CON00000309,SUB0000107,2024-02-06,Chat,Technical Issue,0,4,0
CON00000310,SUB0000107,2024-04-10,Chat,Plan Change,1,5,0
CON00000311,SUB0000107,2024-05-13,Chat,Account Access,1,4,0
CON00000312,SUB0000107,2024-12-27,Chat,Feature Request,1,5,0
CON00000313,SUB0000107,2025-02-19,Web Form,Feature Request,1,5,0
CON00000314,SUB0000108,2024-07-23,Chat,Technical Issue,1,5,0
CON00000315,SUB0000108,2025-01-19,Phone,Technical Issue,0,3,0
CON00000316,SUB0000109,2024-05-04,Email,Plan Change,1,5,0
CON00000317,SUB0000109,2024-09-22,Email,Account Access,1,5,0
CON00000318,SUB0000109,2024-10-20,Phone,Account Access,1,5,0
CON00000319,SUB0000109,2025-02-01,Email,Account Access,1,3,0
CON00000320,SUB0000109,2025-06-24,Chat,Technical Issue,1,5,0
CON00000321,SUB0000109,2025-07-06,Email,Plan Change,1,5,0
CON00000322,SUB0000109,2025-09-26,Phone,Plan Change,1,4,0
CON00000323,SUB0000110,2026-06-21,Email,Account Access,1,5,0
CON00000324,SUB0000111,2025-08-11,Chat,Feature Request,1,5,0
CON00000325,SUB0000111,2026-01-06,Phone,Plan Change,1,5,0
CON00000326,SUB0000111,2026-03-06,Email,Account Access,1,5,0
CON00000327,SUB0000112,2026-05-15,Phone,Technical Issue,0,4,0
CON00000328,SUB0000113,2025-02-22,Email,Plan Change,1,5,0
CON00000329,SUB0000113,2025-04-25,Email,Technical Issue,0,4,0
CON00000330,SUB0000113,2025-04-21,Chat,Account Access,1,5,0
CON00000331,SUB0000113,2025-09-13,Email,Plan Change,1,5,0
CON00000332,SUB0000113,2025-10-04,Phone,Account Access,0,3,0
CON00000333,SUB0000113,2025-10-10,Chat,Plan Change,1,4,0
CON00000334,SUB0000113,2026-02-16,Phone,Cancellation Inquiry,1,4,0
CON00000335,SUB0000113,2026-05-03,Phone,Billing Question,1,5,0
CON00000336,SUB0000113,2026-05-08,Email,Billing Question,0,3,0
CON00000337,SUB0000114,2025-08-19,Chat,Account Access,0,3,0
CON00000338,SUB0000115,2024-03-16,Chat,Plan Change,1,4,0
CON00000339,SUB0000115,2024-05-22,Phone,Account Access,0,4,0
CON00000340,SUB0000115,2024-05-23,Email,Account Access,0,4,0
CON00000341,SUB0000115,2024-09-15,Email,Payment Issue,1,4,0
CON00000342,SUB0000115,2024-09-19,Chat,Cancellation Inquiry,1,4,0
CON00000343,SUB0000115,2025-08-09,Phone,Plan Change,1,5,0
CON00000344,SUB0000115,2025-08-01,Chat,Cancellation Inquiry,0,3,0
CON00000345,SUB0000117,2024-04-21,Phone,Technical Issue,1,5,0
CON00000346,SUB0000117,2024-08-05,Web Form,Plan Change,1,5,0
CON00000347,SUB0000117,2025-01-13,Email,Account Access,1,5,0
CON00000348,SUB0000117,2025-03-21,Email,Plan Change,1,5,0
CON00000349,SUB0000117,2025-06-03,Email,Plan Change,1,4,0
CON00000350,SUB0000117,2025-11-21,Chat,Payment Issue,1,5,1
CON00000351,SUB0000117,2025-11-16,Email,Payment Issue,0,5,0
CON00000352,SUB0000117,2025-12-23,Chat,Technical Issue,0,4,0
CON00000353,SUB0000119,2026-01-22,Email,Account Access,0,4,0
CON00000354,SUB0000120,2024-10-20,Chat,Billing Question,0,4,0
CON00000355,SUB0000120,2025-04-14,Email,Plan Change,1,4,0
CON00000356,SUB0000120,2025-10-06,Phone,Technical Issue,1,5,0
CON00000357,SUB0000120,2025-11-11,Phone,Billing Question,1,4,0
CON00000358,SUB0000120,2026-04-21,Web Form,Technical Issue,0,4,0
CON00000359,SUB0000121,2025-05-14,Web Form,Plan Change,1,5,0
CON00000360,SUB0000121,2025-08-25,Email,Plan Change,1,5,0
CON00000361,SUB0000121,2026-06-12,Email,Account Access,0,4,0
CON00000362,SUB0000122,2026-03-08,Email,Technical Issue,0,3,0
CON00000363,SUB0000122,2026-03-04,Chat,Plan Change,1,4,0
CON00000364,SUB0000122,2026-03-15,Chat,Technical Issue,1,5,0
CON00000365,SUB0000122,2026-05-16,Web Form,Feature Request,1,5,0
CON00000366,SUB0000123,2025-10-03,Phone,Account Access,1,4,0
CON00000367,SUB0000123,2026-05-23,Chat,Account Access,0,3,0
CON00000368,SUB0000124,2026-02-12,Email,Technical Issue,0,4,0
CON00000369,SUB0000126,2025-04-06,Phone,Cancellation Inquiry,0,3,0
CON00000370,SUB0000128,2025-05-14, Email ,Feature Request,1,5,0
CON00000371,SUB0000128,2025-06-06,Email,Technical Issue,1,4,0
CON00000372,SUB0000129,2024-03-10,Chat,Account Access,1,5,0
CON00000373,SUB0000129,2024-05-02,Email,Cancellation Inquiry,0,3,0
CON00000374,SUB0000129,2025-09-12,Phone,Product Usability,1,5,0
CON00000375,SUB0000129,2025-10-16,Email,Product Usability,1,5,0
CON00000376,SUB0000129,2026-06-21,Phone,Account Access,1,4,0
CON00000377,SUB0000130,2025-10-08,Email,Billing Question,1,4,0
CON00000378,SUB0000130,2026-03-13,Chat,Billing Question,1,5,0
CON00000379,SUB0000132,2026-05-25,Email,Feature Request,1,4,0
CON00000380,SUB0000134,2024-06-17,Phone,Technical Issue,1,5,0
CON00000381,SUB0000134,2025-05-09,Phone,Feature Request,1,5,0
