customer_id,signup_date,country,customer_segment,acquisition_channel,age_group
CUST000204,2026-01-19,US,Consumer,Direct,35-44
CUST000205,2024-09-16,US,Consumer,Organic Search,35-44
CUST000206,2024-08-31,US,Consumer,Referral,35-44
CUST000207,2024-08-12,GB,Small Business,Referral,35-44
CUST000208,2024-09-17,CR,Consumer,Paid Social,18-24
CUST000209,2024-04-14,US,Consumer,Organic Search,18-24
CUST000210,2024-02-10,CA,Small Business,Referral,18-24
CUST000211,2025-03-10,US,Premium Consumer,Organic Search,45-54
CUST000212,2025-01-04,US,Consumer,Paid Social,35-44
CUST000213,2024-06-17,US,Premium Consumer,Paid Social,25-34
CUST000214,2025-05-31,BR,Consumer,Organic Search,25-34
CUST000215,2024-10-09,BR,Premium Consumer,Affiliate,35-44
CUST000216,2025-03-18,CR,Consumer,Direct,18-24
CUST000217,2024-08-24,MX,Consumer,Organic Search,35-44
CUST000218,2025-09-09,BR,Small Business,Organic Search,18-24
CUST000219,2025-03-12,CA,Consumer,Organic Search,18-24
CUST000220,2025-10-21,CR,Consumer,Referral,25-34
CUST000221,2024-01-18,US,Premium Consumer,Referral,35-44
CUST000222,2025-03-30,MX,Consumer,Organic Search,25-34
CUST000223,2024-01-30,US,Consumer,Paid Social,18-24
CUST000224,2024-12-27,MX,Consumer,Referral,35-44
CUST000225,2025-01-09,US,Consumer,Referral,35-44
CUST000226,2024-01-11,MX,Consumer,Direct,45-54
CUST000227,2024-05-12,GB,Consumer,Direct,18-24
CUST000228,2024-10-28,US,Consumer,Organic Search,35-44
CUST000229,2024-05-22,MX,Consumer,Paid Social,35-44
CUST000230,2024-08-29,CR,Premium Consumer,Affiliate,18-24
CUST000231,2025-05-12,US,Premium Consumer,Organic Search,55+
CUST000232,2025-01-09,US,Consumer,Paid Social,45-54
CUST000233,2024-08-11,US,Consumer,Paid Social,25-34
CUST000234,2024-06-20,BR,Consumer,Organic Search,18-24
CUST000235,2024-05-06,GB,Consumer,Direct,35-44
CUST000236,2024-04-19,GB,Consumer,Referral,45-54
CUST000237,2025-04-17,US,Premium Consumer,Paid Social,35-44
CUST000238,2024-01-09,US,Premium Consumer,Organic Search,18-24
CUST000239,2024-10-09,BR,Consumer,Organic Search,25-34
CUST000240,2024-11-07,CR,Consumer,Partner,25-34
CUST000241,2024-03-31,CA,Small Business,Referral,35-44
CUST000242,2025-10-05,US,Premium Consumer,Organic Search,35-44
CUST000243,2026-01-06,US,Consumer,Organic Search,45-54
CUST000244,2024-03-07,US,Consumer,Organic Search,35-44
CUST000245,2024-06-15,CR,Consumer,Referral,25-34
CUST000246,2024-03-08,GB,Consumer,Direct,25-34
CUST000247,2025-09-08,CA,Consumer,Partner,35-44
CUST000248,2024-02-22,GB,Consumer,Affiliate,25-34
CUST000249,2025-12-15,CA,Small Business,Organic Search,45-54
CUST000250,2024-10-13,MX,Consumer,Referral,45-54
CUST000251,2024-03-07,CR,Consumer,Organic Search,35-44
CUST000252,2024-07-11,CA,Consumer,Referral,35-44
CUST000253,2025-09-05,US,Consumer,Organic Search,35-44
CUST000254,2026-02-23,CR,Consumer,Organic Search,35-44
CUST000255,2024-07-19,BR,Premium Consumer,Organic Search,45-54
CUST000256,2024-02-28,BR,Consumer,Organic Search,55+
CUST000257,2024-10-04,US,Consumer,Affiliate,35-44
CUST000258,2024-02-08,US,Consumer,Organic Search,18-24
CUST000259,2025-10-08,CR,Consumer,Organic Search,18-24
CUST000260,2024-04-10,US,Consumer,Affiliate,25-34
CUST000261,2024-04-03,US,Premium Consumer,Organic Search,55+
CUST000262,2025-11-26,CR,Consumer,Organic Search,35-44
CUST000263,2025-09-12,MX,Consumer,Paid Social,55+
CUST000264,2025-06-04,BR,Consumer,Organic Search,45-54
CUST000265,2024-04-28,US,Small Business,Paid Social,35-44
CUST000266,2026-01-21,US,Consumer,Paid Social,25-34
CUST000267,2025-06-30,US,Premium Consumer,Referral,55+
CUST000268,2025-11-17,CR,Consumer,Organic Search,35-44
CUST000269,2024-06-09,CR,Consumer,Organic Search,45-54
CUST000270,2024-07-25,CR,Consumer,Partner,45-54
CUST000271,2024-03-19,US,Consumer,Direct,55+
CUST000272,2024-06-27,CA,Consumer,Direct,35-44
CUST000273,2025-03-26,MX,Consumer,Organic Search,25-34
CUST000274,2025-08-22,GB,Consumer,Referral,18-24
CUST000275,2025-11-21,US,Premium Consumer,Paid Social,25-34
CUST000276,2025-03-31,BR,Premium Consumer,Referral,35-44
CUST000277,2024-12-29,US,Consumer,Affiliate,35-44
CUST000278,2025-11-15,CR,Consumer,Paid Social,45-54
CUST000279,2025-06-17,BR,Consumer,Organic Search,25-34
CUST000280,2024-05-19,CA,Consumer,Paid Social,25-34
CUST000281,2024-01-13,BR,Consumer,Referral,18-24
CUST000282,2025-05-30,CA,Consumer,Direct,25-34
CUST000283,2025-04-16,BR,Premium Consumer,Organic Search,25-34
CUST000284,2025-11-05,CA,Consumer,Referral,55+
CUST000285,2024-07-12,CR,Premium Consumer,Paid Social,35-44
CUST000286,2025-07-18,US,Small Business,Direct,35-44
CUST000287,2024-03-17,CA,Small Business,Direct,45-54
CUST000288,2025-10-17,US,Premium Consumer,Paid Social,55+
CUST000289,2025-05-07,BR,Consumer,Paid Social,35-44
CUST000290,2024-11-17,CR,Premium Consumer,Organic Search,55+
CUST000291,2024-10-31,GB,Consumer,Organic Search,35-44
CUST000292,2025-05-31,CR,Consumer,Affiliate,18-24
CUST000293,2025-08-12,MX,Consumer,Organic Search,35-44
CUST000294,2024-10-22,BR,Consumer,Paid Social,18-24
CUST000295,2025-11-25,MX,Premium Consumer,Referral,45-54
CUST000296,2024-05-22,US,Consumer,Direct,25-34
CUST000297,2025-04-25,CR,Small Business,Affiliate,55+
CUST000298,2025-04-18,BR,Small Business,Paid Social,25-34
CUST000299,2025-08-24,US,Consumer,Direct,25-34
CUST000300,2024-10-31,MX,Consumer,Affiliate,25-34
CUST000301,2024-01-04,BR,Consumer,Referral,18-24
CUST000302,2025-07-17,CR,Consumer,Partner,35-44
CUST000303,2024-08-14,US,Consumer,Organic Search,45-54
CUST000304,2024-05-21,CR,Consumer,Direct,35-44
CUST000305,2024-07-28,GB,Consumer,Referral,35-44
CUST000306,2024-12-13,CR,Consumer,Paid Social,25-34
CUST000307,2024-09-17,US,Small Business,Referral,45-54
CUST000308,2024-05-30,MX,Consumer,Partner,18-24
CUST000309,2025-12-04,MX,Premium Consumer,Paid Social,35-44
CUST000310,2025-01-14,US,Consumer,Direct,55+
CUST000311,2024-01-01,GB,Small Business,Affiliate,25-34
CUST000312,2024-03-06,GB,Consumer,Paid Social,25-34
CUST000313,2024-03-26,US,Small Business,Paid Social,25-34
CUST000314,2025-04-27,US,Consumer,Referral,18-24
CUST000315,2025-04-22,US,Consumer,Referral,25-34
CUST000316,2024-11-18,GB,Consumer,Paid Social,55+
CUST000317,2025-07-13,CA,Consumer,Referral,25-34
CUST000318,2024-11-26,BR,Small Business,Affiliate,18-24
CUST000319,2024-09-28,MX,Consumer,Direct,45-54
CUST000320,2024-04-03,US,Small Business,Paid Social,25-34
CUST000321,2026-01-24,MX,Consumer,Affiliate,35-44
CUST000322,2026-01-23,GB,Consumer,Referral,25-34
CUST000323,2024-08-24,MX,Consumer,Paid Social,25-34
CUST000324,2025-12-05,US,Small Business,Organic Search,18-24
CUST000325,2025-11-10,US,Consumer,Affiliate,25-34
CUST000326,2025-01-31,US,Consumer,Paid Social,45-54
CUST000327,2026-03-21,MX,Consumer,Direct,25-34
CUST000328,2026-03-08,MX,Consumer,Paid Social,25-34
CUST000329,2025-01-08,US,Consumer,Paid Social,25-34
CUST000330,2024-02-14,BR,Small Business,Direct,35-44
CUST000331,2025-07-25,US,Consumer,Direct,25-34
CUST000332,2025-10-13,US,Consumer,Affiliate,25-34
CUST000333,2025-10-12,US,Consumer,Paid Social,18-24
CUST000334,2025-01-12,GB,Premium Consumer,Direct,35-44
CUST000335,2026-02-16,GB,Consumer,Referral,55+
CUST000336,2025-04-30,US,Consumer,Organic Search,55+
CUST000337,2024-11-23,US,Consumer,Organic Search,35-44
CUST000338,2024-03-15,GB,Consumer,Paid Social,55+
CUST000339,2025-12-10,MX,Consumer,Affiliate,45-54
CUST000340,2024-08-22,US,Premium Consumer,Referral,35-44
CUST000341,2024-01-22,US,Consumer,Organic Search,55+
CUST000342,2024-10-13,CA,Premium Consumer,Direct,55+
CUST000343,2025-01-09,US,Consumer,Referral,18-24
CUST000344,2024-12-10,CR,Consumer,Direct,35-44
CUST000345,2025-10-07,US,Small Business,Affiliate,18-24
CUST000346,2025-02-09,GB,Consumer,Paid Social,25-34
CUST000347,2025-09-03,US,Consumer,Affiliate,18-24
CUST000348,2024-09-01,US,Consumer,Referral,18-24
CUST000349,2025-04-20,GB,Consumer,Referral,25-34
CUST000350,2024-07-05,GB,Small Business,Organic Search,35-44
CUST000351,2024-02-16,MX,Small Business,Partner,45-54
CUST000352,2024-06-02,CR,Consumer,Affiliate,55+
CUST000353,2025-08-12,US,Consumer,Direct,18-24
CUST000354,2026-03-21,BR,Small Business,Referral,55+
CUST000355,2024-08-25,US,Consumer,Partner,18-24
CUST000356,2025-01-20,BR,Consumer,Organic Search,25-34
CUST000357,2025-12-28,US,Consumer,Organic Search,18-24
CUST000358,2024-01-18,US,Consumer,Direct,55+
CUST000359,2026-02-19,US,Consumer,Paid Social,55+
CUST000360,2025-05-05,GB,Consumer,Direct,18-24
CUST000361,2025-11-28,CR,Consumer,Organic Search,45-54
CUST000362,2025-08-09,MX,Consumer,Affiliate,45-54
CUST000363,2025-03-21,CA,Consumer,Direct,18-24
CUST000364,2024-09-23,GB,Premium Consumer,Referral,55+
CUST000365,2025-08-18,US,Premium Consumer,Partner,45-54
CUST000366,2024-03-11,US,Consumer,Affiliate,25-34
CUST000367,2026-02-21,US,Small Business,Referral,35-44
CUST000368,2024-04-09,CR,Small Business,Direct,35-44
CUST000369,2025-10-29,CA,Consumer,Direct,25-34
CUST000370,2024-10-07,US,Premium Consumer,Organic Search,55+
CUST000371,2026-03-31,MX,Premium Consumer,Affiliate,55+
CUST000372,2025-12-14,US,Premium Consumer,Organic Search,25-34
CUST000373,2026-01-26,BR,Consumer,Referral,18-24
CUST000374,2025-03-05,MX,Premium Consumer,Referral,18-24
CUST000375,2024-02-12,CA,Premium Consumer,Paid Social,35-44
CUST000376,2024-07-28,GB,Consumer,Direct,45-54
CUST000377,2024-06-29,MX,Premium Consumer,Referral,18-24
CUST000378,2025-04-18,GB,Consumer,Paid Social,35-44
CUST000379,2024-01-25,US,Consumer,Paid Social,35-44
CUST000380,2025-01-10,US,Small Business,Referral,25-34
CUST000381,2024-07-17,US,Premium Consumer,Paid Social,45-54
CUST000382,2026-03-29,US,Premium Consumer,Referral,18-24
CUST000383,2024-08-09,GB,Consumer,Direct,35-44
CUST000384,2024-11-04,CA,Consumer,Organic Search,25-34
CUST000385,2025-05-04,MX,Small Business,Organic Search,55+
CUST000386,2026-01-13,MX,Consumer,Organic Search,35-44
CUST000387,2025-10-22,US,Premium Consumer,Paid Social,45-54
CUST000388,2025-01-10,BR,Small Business,Organic Search,55+
CUST000389,2025-02-03,CR,Consumer,Organic Search,45-54
CUST000390,2024-12-16,US,Consumer,Organic Search,18-24
CUST000391,2024-06-14,BR,Consumer,Direct,25-34
CUST000392,2024-04-07,CA,Consumer,Referral,45-54
CUST000393,2024-05-09,US,Consumer,Referral,45-54
CUST000394,2024-05-01,US,Consumer,Direct,45-54
CUST000395,2024-09-08,BR,Consumer,Affiliate,45-54
CUST000396,2024-04-10,GB,Consumer,Paid Social,55+
CUST000397,2025-07-20,BR,Consumer,Direct,25-34
CUST000398,2024-03-15,US,Consumer,Paid Social,35-44
CUST000399,2025-07-10,MX,Consumer,Direct,35-44
CUST000400,2024-06-20,CA,Consumer,Affiliate,18-24
CUST000401,2024-05-22,BR,Consumer,Organic Search,18-24
CUST000402,2025-04-06,US,Consumer,Organic Search,25-34
CUST000403,2025-04-17,MX,Consumer,Organic Search,55+
CUST000404,2025-07-29,MX,Consumer,Organic Search,25-34
CUST000405,2024-03-26,CR,Premium Consumer,Direct,35-44
CUST000406,2024-10-04,US,Premium Consumer,Paid Social,25-34
CUST000407,2024-09-28,GB,Consumer,Affiliate,18-24
CUST000408,2025-03-23,US,Consumer,Organic Search,45-54
CUST000409,2025-01-01,BR,Consumer,Referral,25-34
CUST000410,2025-02-11,MX,Premium Consumer,Paid Social,35-44
CUST000411,2025-10-11,MX,Premium Consumer,Organic Search,25-34
CUST000412,2026-02-02,CR,Consumer,Direct,25-34
CUST000413,2024-12-01,BR,Consumer,Referral,25-34
CUST000414,2024-07-28,BR,Consumer,Organic Search,55+
CUST000415,2024-04-18,US,Consumer,Partner,25-34
CUST000416,2026-03-08,US,Small Business,Partner,55+
CUST000417,2026-03-27,CR,Consumer,Direct,45-54
CUST000418,2025-08-28,CR,Small Business,Paid Social,55+
CUST000419,2026-02-19,GB,Consumer,Referral,55+
CUST000420,2025-06-03,CR,Small Business,Referral,18-24
CUST000421,2024-02-28,US,Consumer,Paid Social,35-44
CUST000422,2026-02-13,US,Consumer,Organic Search,35-44
CUST000423,2025-12-27,CR,Premium Consumer,Partner,55+
CUST000424,2024-02-26,US,Consumer,Direct,18-24
CUST000425,2024-08-18,CA,Premium Consumer,Paid Social,35-44
CUST000426,2024-02-05,US,Consumer,Affiliate,25-34
CUST000427,2024-01-17,US,Small Business,Paid Social,35-44
CUST000428,2024-02-14,US,Consumer,Direct,55+
CUST000429,2025-03-28,MX,Consumer,Direct,45-54
CUST000430,2024-02-23,MX,Premium Consumer,Referral,35-44
CUST000431,2025-03-22,US,Consumer,Paid Social,35-44
CUST000432,2024-06-05,GB,Consumer,Paid Social,35-44
CUST000433,2025-02-12,GB,Consumer,Direct,45-54
CUST000434,2025-09-27,US,Consumer,Paid Social,35-44
CUST000435,2024-10-03,BR,Consumer,Direct,25-34
CUST000436,2024-12-02,CR,Premium Consumer,Referral,18-24
CUST000437,2024-01-05,US,Consumer,Partner,45-54
CUST000438,2025-06-02,CA,Consumer,Partner,45-54
CUST000439,2024-05-23,MX,Consumer,Partner,35-44
CUST000440,2025-09-01,GB,Small Business,Referral,35-44
CUST000441,2024-07-21,US,Consumer,Paid Social,35-44
CUST000442,2024-02-17,US,Consumer,Organic Search,55+
CUST000443,2024-03-14,BR,Consumer,Referral,45-54
CUST000444,2024-04-09,BR,Consumer,Referral,25-34
CUST000445,2025-02-15,CR,Consumer,Partner,35-44
CUST000446,2025-06-23,US,Premium Consumer,Organic Search,35-44
CUST000447,2025-10-26,BR,Consumer,Direct,55+
CUST000448,2024-12-26,US,Premium Consumer,Referral,18-24
CUST000449,2026-03-03,BR,Premium Consumer,Referral,45-54
CUST000450,2025-08-12,CR,Small Business,Direct,18-24
CUST000451,2024-04-03,MX,Consumer,Direct,25-34
CUST000452,2026-02-09,CR,Consumer,Affiliate,25-34
CUST000453,2026-03-20,MX,Consumer,Organic Search,25-34
CUST000454,2025-08-18,US,Consumer,Direct,35-44
CUST000455,2025-09-11,US,Premium Consumer,Direct,45-54
CUST000456,2024-06-19,US,Consumer,Paid Social,35-44
CUST000457,2025-02-15,CA,Consumer,Referral,35-44
CUST000458,2025-11-08,CR,Consumer,Direct,35-44
CUST000459,2025-02-23,US,Premium Consumer,Organic Search,25-34
CUST000460,2024-07-10,CR,Small Business,Organic Search,25-34
