subscription_id,customer_id,plan_id,start_date,end_date,subscription_status,auto_renew,discount_pct
SUB0000090,CUST000081,P01,2025-09-13,,Active,1,0.0
SUB0000091,CUST000082,P02,2025-03-09,2026-02-27,Cancelled,1,10.0
SUB0000092,CUST000083,P03,2025-04-18,,Active,1,0.0
SUB0000093,CUST000084,P02,2024-06-18,,Active,0,0.0
SUB0000094,CUST000085,P01,2024-10-15,,Active,1,0.0
SUB0000095,CUST000086,P01,2025-03-23,2025-07-18,Cancelled,1,0.0
SUB0000096,CUST000087,P04,2025-12-04,,Active,0,0.0
SUB0000097,CUST000088,P01,2025-07-01,2025-12-11,Cancelled,1,0.0
SUB0000098,CUST000089,P02,2024-06-17,,Active,1,0.0
SUB0000099,CUST000090,P01,2024-05-15,2025-11-21,Cancelled,1,0.0
SUB0000100,CUST000090,P01,2025-05-30,2025-06-12,Cancelled,1,10.0
SUB0000101,CUST000091,P01,2024-11-03,,Active,1,0.0
SUB0000102,CUST000092,P03,2025-05-26,2026-06-29,Cancelled,1,0.0
SUB0000104,CUST000093,P03,2026-01-22,,Active,0,0.0
SUB0000105,CUST000094,P01,2025-02-15,2025-06-19,Cancelled,1,0.0
SUB0000106,CUST000095,P01,2025-01-29,2026-01-20,Cancelled,0,0.0
SUB0000107,CUST000096,P01,2024-02-15,2025-07-13,Cancelled,1,10.0
SUB0000108,CUST000097,P01,2024-06-25,2025-03-11,Cancelled,1,15.0
SUB0000109,CUST000098,P02,2024-03-27,,Active,1,0.0
SUB0000110,CUST000099,P02,2025-12-17,,Active,0,0.0
SUB0000111,CUST000100,P02,2024-12-16,,Active,1,0.0
SUB0000112,CUST000101,P02,2025-09-26,,Active,1,0.0
SUB0000113,CUST000102,P04,2025-02-09,,Active,1,0.0
SUB0000114,CUST000103,P01,2025-07-07,,Active,1,0.0
SUB0000115,CUST000104,P01,2024-01-24,2026-01-23,Cancelled,1,0.0
SUB0000116,CUST000105,P03,2026-02-06,,Active,1,0.0
SUB0000117,CUST000106,P02,2024-02-18,,Active,1,0.0
SUB0000118,CUST000107,P01,2025-10-26,,Active,1,5.0
SUB0000119,CUST000108,P01,2025-09-26,,Active,1,0.0
SUB0000120,CUST000109,P01,2024-09-10,,Active,1,0.0
SUB0000121,CUST000110,P04,2025-04-17,,Active,0,5.0
SUB0000122,CUST000110,P04,2026-03-11,2026-05-25,Cancelled,0,0.0
SUB0000123,CUST000111,P02,2025-03-31,,Active,1,0.0
SUB0000124,CUST000112,P02,2025-08-21,,Active,0,0.0
SUB0000125,CUST000112,P02,2025-12-25,,Active,1,0.0
SUB0000126,CUST000113,P02,2025-02-07,2025-07-13,Cancelled,1,10.0
SUB0000127,CUST000113,P03,2025-10-08,,Active,1,0.0
SUB0000128,CUST000114,P02,2025-03-10,,Active,1,0.0
SUB0000129,CUST000115,P01,2024-02-25,,Active,1,0.0
SUB0000130,CUST000116,P03,2025-10-26,,Active,1,0.0
SUB0000131,CUST000117,P02,2025-12-15,,Active,1,0.0
SUB0000132,CUST000118,P02,2026-01-05,,Active,1,0.0
SUB0000133,CUST000118,P03,2026-05-14,,Active,1,15.0
SUB0000134,CUST000119,P03,2024-01-30,,Active,1,0.0
SUB0000135,CUST000120,P03,2024-08-20,,Active,0,0.0
SUB0000136,CUST000121,P01,2024-11-28,,Active,1,15.0
SUB0000137,CUST000122,P03,2025-07-26,,Active,1,0.0
SUB0000138,CUST000123,P03,2025-05-23,,Active,1,5.0
SUB0000139,CUST000124,P02,2025-02-27,2026-06-19,Cancelled,0,0.0
SUB0000140,CUST000125,P02,2025-09-25,,Active,0,0.0
SUB0000141,CUST000126,P01,2024-08-08,2025-08-21,Cancelled,1,0.0
SUB0000142,CUST000126,P01,2024-12-10,,Active,1,0.0
SUB0000143,CUST000127,P03,2025-03-23,,Active,1,5.0
SUB0000144,CUST000128,P02,2024-10-11,,Active,1,15.0
SUB0000145,CUST000129,P01,2024-10-31,,Active,1,0.0
SUB0000146,CUST000130,P01,2025-01-08,,Active,1,15.0
SUB0000147,CUST000131,P02,2024-11-20,,Active,1,0.0
SUB0000148,CUST000132,P01,2024-10-28,,Active,1,0.0
SUB0000149,CUST000132,P02,2025-01-26,2025-09-12,Cancelled,0,0.0
SUB0000150,CUST000133,P03,2025-11-28,,Active,1,20.0
SUB0000151,CUST000134,P02,2024-01-21,,Active,0,0.0
SUB0000152,CUST000135,P01,2024-09-06,,Active,1,0.0
SUB0000153,CUST000136,P04,2025-04-21,2025-09-30,Cancelled,1,0.0
SUB0000154,CUST000137,P03,2024-08-05,2025-04-22,Cancelled,1,0.0
SUB0000155,CUST000138,P02,2024-06-22,2026-02-28,Cancelled,1,0.0
SUB0000156,CUST000139,P02,2025-11-11,,Active,1,0.0
SUB0000158,CUST000140,P03,2024-11-16,,Active,1,0.0
SUB0000159,CUST000141,P01,2024-08-02,,Active,0,0.0
SUB0000160,CUST000142,P03,2024-08-16,2026-03-31,Cancelled,0,0.0
SUB0000161,CUST000143,P04,2025-09-23,,Active,1,0.0
SUB0000162,CUST000144,P01,2024-10-05,2025-09-12,Cancelled,1,0.0
SUB0000163,CUST000145,P02,2024-11-10,,Active,1,0.0
SUB0000164,CUST000146,P02,2025-11-01,,Active,1,10.0
SUB0000165,CUST000147,P03,2024-05-12,2025-01-25,Cancelled,0,5.0
SUB0000166,CUST000148,P03,2025-01-23,,Active,1,0.0
SUB0000167,CUST000149,P01,2025-10-11,,Active,1,0.0
SUB0000168,CUST000150,P03,2025-04-11,,Active,1,10.0
SUB0000169,CUST000151,P02,2024-09-09,2025-07-10,Cancelled,1,0.0
SUB0000170,CUST000152,P01,2025-04-30,,Active,1,10.0
SUB0000171,CUST000153,P01,2025-01-25,,Active,1,0.0
SUB0000172,CUST000154,P03,2026-03-15,,Active,1,5.0
SUB0000173,CUST000155,P02,2024-07-25,2025-06-22,Cancelled,1,10.0
SUB0000174,CUST000155,P01,2025-01-11,2025-04-22,Cancelled,1,0.0
SUB0000175,CUST000156,P02,2024-11-05,2025-03-15,Cancelled,1,0.0
SUB0000176,CUST000157,P03,2025-09-26,,Active,0,0.0
SUB0000177,CUST000158,P01,2024-06-20,2024-12-22,Cancelled,1,0.0
SUB0000178,CUST000159,P02,2026-02-21,,Active,1,0.0
SUB0000179,CUST000160,P01,2024-11-06,,Active,1,0.0
SUB0000180,CUST000161,P01,2025-08-10,,Active,1,0.0
SUB0000181,CUST000161,P01,2026-01-11,2026-05-20,Cancelled,1,15.0
SUB0000182,CUST000162,P02,2024-04-24,2026-01-17,Cancelled,1,0.0
SUB0000183,CUST000162,P02,2025-01-13,,Active,1,5.0
SUB0000184,CUST000163,P02,2025-08-03,,Active,1,15.0
SUB0000185,CUST000164,P02,2024-10-17,,Active,0,10.0
SUB0000186,CUST000165,P02,2024-08-20,,Active,0,10.0
SUB0000187,CUST000165,P01,2025-08-30,,Active,1,0.0
SUB0000188,CUST000166,P01,2026-03-03,,Active,1,20.0
SUB0000190,CUST000167,P03,2025-09-27,,Active,1,0.0
SUB0000191,CUST000167,P02,2026-06-05,,Active,1,0.0
SUB0000192,CUST000168,P01,2024-12-17,,Active,1,5.0
SUB0000193,CUST000168,P01,2026-02-11,,Active,1,0.0
SUB0000194,CUST000169,P01,2024-06-24,,Active,1,0.0
SUB0000195,CUST000170,P01,2025-05-23,2025-10-21,Cancelled,1,0.0
SUB0000196,CUST000171,P01,2024-03-25,,Active,1,15.0
SUB0000197,CUST000171,P01,2025-01-16,,Active,1,0.0
SUB0000198,CUST000172,P04,2024-08-17,,Active,1,0.0
SUB0000199,CUST000173,P01,2024-12-30,,Active,1,0.0
SUB0000200,CUST000174,P01,2024-10-10,2025-01-26,Cancelled,0,0.0
SUB0000201,CUST000174,P01,2025-08-07,,Active,1,0.0
SUB0000202,CUST000175,P01,2024-03-20,2025-07-21,Cancelled,1,0.0
SUB0000203,CUST000176,P02,2024-11-30,,Active,1,20.0
SUB0000204,CUST000177,P03,2025-10-05,,Active,1,0.0
SUB0000205,CUST000178,P03,2025-06-15,,Active,0,5.0
SUB0000206,CUST000179,P03,2025-07-02,,Active,1,0.0
SUB0000207,CUST000180,P01,2025-12-23,,Active,1,5.0
SUB0000208,CUST000181,P03,2026-03-12,,Active,1,0.0
SUB0000209,CUST000182,P02,2024-05-25,,Active,1,0.0
SUB0000210,CUST000183,P01,2024-06-17,,Active,1,0.0
SUB0000211,CUST000184,P01,2024-08-14,2025-06-13,Cancelled,1,15.0
SUB0000212,CUST000185,P01,2025-02-11,,Active,0,5.0
SUB0000213,CUST000186,P01,2025-06-21,,Active,1,0.0
SUB0000214,CUST000187,P02,2025-04-28,,Active,1,0.0
SUB0000215,CUST000188,P02,2025-05-16,,Active,1,0.0
SUB0000216,CUST000189,P01,2025-05-06,2025-06-25,Cancelled,0,0.0
SUB0000217,CUST000189,P02,2026-03-08,,Active,1,0.0
SUB0000218,CUST000190,P02,2025-10-31,,Active,1,5.0
SUB0000219,CUST000191,P01,2024-08-10,2024-09-19,Cancelled,1,20.0
SUB0000220,CUST000192,P01,2024-05-11,,Active,1,0.0
SUB0000221,CUST000193,P01,2024-07-17,2025-02-27,Cancelled,0,0.0
SUB0000222,CUST000194,P01,2026-01-17,,Active,1,5.0
SUB0000223,CUST000195,P03,2026-03-24,,Active,0,5.0
SUB0000224,CUST000196,P01,2026-04-15,,Active,1,5.0
SUB0000225,CUST000197,P01,2024-01-29,,Active,1,0.0
SUB0000226,CUST000198,P01,2024-04-29,2024-08-19,Cancelled,1,0.0
SUB0000227,CUST000199,P01,2026-02-10,2026-06-14,Cancelled,1,0.0
SUB0000228,CUST000200,P01,2025-11-19,,Active,1,15.0
SUB0000229,CUST000201,P01,2024-04-15,2024-10-21,Cancelled,1,5.0
SUB0000230,CUST000202,P01,2024-08-27,,Active,1,0.0
SUB0000231,CUST000203,P03,2024-11-21,2025-05-20,Cancelled,0,5.0
SUB0000232,CUST000204,P02,2026-01-20,,Active,1,0.0
SUB0000233,CUST000205,P01,2024-09-23,2024-11-24,Cancelled,0,10.0
SUB0000234,CUST000206,P01,2024-08-31,,Active,0,0.0
SUB0000235,CUST000207,P02,2024-08-17,,Active,1,0.0
SUB0000236,CUST000208,P02,2024-09-23,2025-09-29,Cancelled,1,0.0
SUB0000237,CUST000209,P01,2024-04-26,2025-02-15,Cancelled,1,0.0
SUB0000238,CUST000210,P04,2024-02-16,2025-11-22,Cancelled,0,0.0
SUB0000239,CUST000211,P03,2025-03-17,,Active,1,0.0
SUB0000240,CUST000212,P01,2025-01-16,,Active,1,0.0
SUB0000241,CUST000213,P03,2024-07-03,2025-02-20,Cancelled,1,5.0
SUB0000242,CUST000214,P02,2025-05-31,,Active,1,5.0
SUB0000243,CUST000215,P02,2024-10-14,,Active,1,0.0
SUB0000244,CUST000216,P02,2025-03-23,,Active,1,5.0
SUB0000245,CUST000217,P01,2024-09-04,2026-02-26,Cancelled,1,0.0
SUB0000246,CUST000218,P04,2025-09-15,,Active,1,0.0
SUB0000247,CUST000219,P01,2025-03-21,,Active,1,0.0
SUB0000248,CUST000220,P01,2025-10-31,,Active,1,0.0
SUB0000249,CUST000221,P03,2024-01-29,,Active,1,0.0
SUB0000250,CUST000222,P01,2025-04-17,,Active,1,5.0
SUB0000251,CUST000223,P01,2024-02-18,,Active,1,10.0
SUB0000252,CUST000224,P02,2025-01-03,,Active,1,0.0
SUB0000253,CUST000225,P01,2025-01-24,,Active,1,0.0
SUB0000254,CUST000226,P02,2024-01-31,2024-05-29,Cancelled,1,0.0
SUB0000255,CUST000227,P03,2024-05-17,,Active,0,15.0
SUB0000256,CUST000228,P02,2024-11-06,,Active,1,0.0
SUB0000257,CUST000229,P01,2024-05-24,2024-07-26,Cancelled,1,5.0
SUB0000258,CUST000230,P02,2024-09-02,2025-07-27,Cancelled,1,0.0
SUB0000259,CUST000231,P01,2025-05-23,,Active,1,0.0
SUB0000260,CUST000232,P01,2025-01-26,,Active,1,0.0
SUB0000261,CUST000232,P02,2025-08-02,,Active,1,0.0
SUB0000262,CUST000233,P03,2024-08-26,,Active,1,0.0
SUB0000263,CUST000234,P01,2024-07-09,,Active,1,0.0
SUB0000264,CUST000235,P01,2024-05-12,2025-08-14,Cancelled,1,20.0
SUB0000265,CUST000236,P01,2024-04-26,2025-08-14,Cancelled,1,10.0
SUB0000266,CUST000237,P01,2025-04-20,,Active,1,0.0
SUB0000267,CUST000237,P02,2025-09-21,,Active,1,0.0
SUB0000268,CUST000238,P03,2024-01-11,,Active,1,10.0
SUB0000269,CUST000239,P01,2024-10-25,2025-09-23,Cancelled,0,10.0
SUB0000270,CUST000240,P03,2024-11-10,,Active,0,0.0
SUB0000271,CUST000241,P04,2024-04-18,,Active,1,0.0
SUB0000272,CUST000242,P03,2025-10-11,,Active,0,0.0
SUB0000273,CUST000243,P01,2026-01-25,,Active,1,5.0
SUB0000274,CUST000244,P02,2024-03-13,,Active,1,10.0
SUB0000275,CUST000245,P01,2024-06-17,2025-04-10,Cancelled,0,0.0
SUB0000276,CUST000246,P02,2024-03-25,,Active,1,0.0
SUB0000277,CUST000247,P01,2025-09-21,,Active,1,0.0
SUB0000278,CUST000247,P03,2026-04-26,,Active,1,0.0
SUB0000279,CUST000248,P01,2024-03-10,2026-02-21,Cancelled,1,0.0
SUB0000280,CUST000249,P03,2025-12-31,,Active,1,5.0
SUB0000281,CUST000250,P01,2024-10-13,,Active,0,0.0
SUB0000282,CUST000250,P01,2025-09-06,,Active,1,0.0
SUB0000283,CUST000251,P01,2024-03-09,2024-08-14,Cancelled,1,0.0
SUB0000284,CUST000252,P02,2024-07-16,2025-09-21,Cancelled,1,0.0
SUB0000285,CUST000252,P01,2024-12-21,2025-04-25,Cancelled,1,0.0
SUB0000286,CUST000253,P01,2025-09-12,,Active,1,20.0
SUB0000287,CUST000254,P01,2026-02-28,,Active,1,5.0
SUB0000288,CUST000255,P02,2024-08-01,2026-01-19,Cancelled,0,10.0
SUB0000289,CUST000256,P02,2024-03-04,,Active,1,5.0
SUB0000290,CUST000257,P02,2024-10-19,,Active,1,10.0
SUB0000291,CUST000258,P01,2024-02-21,2024-05-24,Cancelled,1,0.0
SUB0000292,CUST000259,P01,2025-10-24,,Active,0,0.0
SUB0000293,CUST000260,P01,2024-04-24,,Active,1,0.0
SUB0000294,CUST000261,P01,2024-04-20,2025-10-26,Cancelled,1,0.0
SUB0000295,CUST000262,P01,2025-12-15,,Active,1,0.0
SUB0000296,CUST000263,P02,2025-09-16,,Active,1,0.0
SUB0000297,CUST000264,P01,2025-06-15,,Active,1,10.0
SUB0000298,CUST000265,P03,2024-05-07,,Active,1,0.0
SUB0000299,CUST000266,P01,2026-01-30,,Active,1,0.0
SUB0000300,CUST000267,P03,2025-07-10,,Active,1,15.0
SUB0000301,CUST000268,P01,2025-11-24,,Active,1,0.0
SUB0000302,CUST000269,P02,2024-06-24,,Active,1,10.0
SUB0000303,CUST000270,P01,2024-08-09,2024-09-27,Cancelled,1,0.0
SUB0000304,CUST000270,P01,2025-04-12,,Active,1,5.0
SUB0000305,CUST000271,P01,2024-03-31,,Active,1,20.0
SUB0000306,CUST000272,P02,2024-07-15,,Active,1,0.0
SUB0000307,CUST000273,P03,2025-04-15,,Active,1,0.0
SUB0000308,CUST000274,P01,2025-09-07,,Active,1,0.0
SUB0000310,CUST000275,P03,2025-11-27,,Active,1,0.0
SUB0000311,CUST000276,P02,2025-04-05,2026-06-25,Cancelled,1,20.0
SUB0000312,CUST000276,P02,2025-09-13,,Active,1,0.0
SUB0000313,CUST000277,P03,2025-01-17,,Active,1,10.0
SUB0000314,CUST000278,P01,2025-11-27,,Active,0,0.0
SUB0000316,CUST000279,P01,2025-06-17,2026-02-19,Cancelled,1,0.0
SUB0000317,CUST000280,P03,2024-05-27,,Active,1,15.0
SUB0000318,CUST000280,P01,2025-06-27,2025-12-26,Cancelled,1,0.0
SUB0000319,CUST000281,P01,2024-01-21,2025-03-23,Cancelled,1,0.0
SUB0000320,CUST000282,P01,2025-06-09,2025-12-22,Cancelled,1,10.0
SUB0000321,CUST000282,P01,2025-11-17,,Active,1,0.0
SUB0000322,CUST000283,P02,2025-04-19,,Active,1,0.0
SUB0000323,CUST000284,P03,2025-11-07,,Active,1,0.0
SUB0000324,CUST000285,P02,2024-07-21,2026-01-18,Cancelled,0,0.0
SUB0000325,CUST000285,P03,2025-04-24,,Active,1,0.0
SUB0000326,CUST000286,P04,2025-08-05,,Active,1,10.0
SUB0000327,CUST000287,P03,2024-04-01,2025-02-17,Cancelled,0,5.0
SUB0000328,CUST000288,P02,2025-10-26,2026-03-18,Cancelled,1,0.0
SUB0000329,CUST000289,P01,2025-05-19,,Active,0,0.0
SUB0000330,CUST000290,P02,2024-11-23,2026-03-15,Cancelled,1,0.0
SUB0000331,CUST000291,P01,2024-11-18,2025-08-13,Cancelled,0,0.0
SUB0000332,CUST000292,P01,2025-05-31,2026-04-16,Cancelled,1,0.0
SUB0000333,CUST000293,P01,2025-08-15,,Active,1,0.0
SUB0000334,CUST000294,P03,2024-10-29,,Active,1,0.0
SUB0000335,CUST000295,P03,2025-11-25,,Active,1,0.0
SUB0000337,CUST000296,P01,2024-05-24,2024-11-13,Cancelled,1,0.0
SUB0000338,CUST000297,P04,2025-04-29,2025-12-23,Cancelled,1,0.0
SUB0000339,CUST000298,P03,2025-04-29,2026-06-09,Cancelled,0,0.0
SUB0000340,CUST000299,P01,2025-09-08,,Active,0,0.0
SUB0000341,CUST000300,P01,2024-11-18,2025-01-27,Cancelled,1,0.0
SUB0000342,CUST000301,P01,2024-01-12,2026-05-29,Cancelled,1,0.0
SUB0000343,CUST000302,P03,2025-08-04,2026-01-18,Cancelled,1,5.0
SUB0000344,CUST000303,P01,2024-09-02,,Active,1,5.0
SUB0000345,CUST000304,P01,2024-06-01,2024-09-24,Cancelled,1,0.0
SUB0000346,CUST000305,P02,2024-08-08,,Active,1,0.0
SUB0000347,CUST000306,P02,2024-12-18,2026-02-27,Cancelled,1,0.0
SUB0000348,CUST000307,P03,2024-09-29,,Active,1,0.0
SUB0000349,CUST000308,P01,2024-06-15,,Active,1,20.0
SUB0000350,CUST000309,P03,2025-12-22,,Active,1,5.0
SUB0000351,CUST000310,P02,2025-01-19,,Active,1,0.0
SUB0000352,CUST000311,P03,2024-01-09,,Active,1,0.0
SUB0000353,CUST000312,P02,2024-03-22,2025-10-10,Cancelled,1,0.0
SUB0000354,CUST000313,P03,2024-04-03,2025-07-28,Cancelled,1,0.0
SUB0000355,CUST000313,P03,2024-06-24,2025-05-16,Cancelled,0,0.0
SUB0000356,CUST000314,P01,2025-05-07,2026-04-30,Cancelled,1,0.0
SUB0000357,CUST000314,P03,2026-02-18,,Active,1,0.0
SUB0000358,CUST000315,P02,2025-05-01,2025-06-27,Cancelled,1,0.0
SUB0000359,CUST000316,P02,2024-11-24,2026-03-10,Cancelled,1,0.0
SUB0000360,CUST000316,P02,2025-06-14,,Active,0,0.0
SUB0000361,CUST000317,P02,2025-07-31,,Active,1,5.0
SUB0000362,CUST000318,P03,2024-12-10,,Active,1,0.0
SUB0000363,CUST000318,P03,2025-12-29,,Active,1,0.0
SUB0000364,CUST000319,P02,2024-10-06,2025-07-10,Cancelled,0,0.0
SUB0000365,CUST000320,P02,2024-04-12,2025-08-13,Cancelled,1,0.0
SUB0000366,CUST000321,P03,2026-02-10,,Active,1,0.0
SUB0000367,CUST000322,P01,2026-02-07,,Active,0,0.0
SUB0000368,CUST000323,P01,2024-08-27,2025-12-16,Cancelled,1,5.0
SUB0000369,CUST000324,P03,2025-12-14,,Active,1,0.0
SUB0000370,CUST000325,P03,2025-11-14,,Active,1,0.0
SUB0000371,CUST000326,P01,2025-02-01,2026-06-16,Cancelled,1,0.0
SUB0000372,CUST000327,P02,2026-03-22,,Active,0,0.0
SUB0000373,CUST000328,P01,2026-03-28,,Active,1,0.0
SUB0000374,CUST000329,P01,2025-01-17,,Active,1,0.0
SUB0000375,CUST000330,P02,2024-02-22,,Active,1,20.0
SUB0000376,CUST000330,P03,2025-04-23,,Active,1,0.0
SUB0000377,CUST000331,P01,2025-07-27,,Active,1,0.0
SUB0000378,CUST000332,P01,2025-11-02,2025-12-22,Cancelled,1,0.0
SUB0000379,CUST000333,P02,2025-11-01,,Active,1,0.0
SUB0000380,CUST000334,P02,2025-01-31,,Active,1,0.0
SUB0000381,CUST000334,P03,2025-05-20,,Active,1,0.0
SUB0000382,CUST000335,P02,2026-02-23,,Active,1,0.0
SUB0000383,CUST000336,P02,2025-05-19,,Active,1,0.0
SUB0000384,CUST000337,P01,2024-11-23,,Active,1,0.0
SUB0000385,CUST000337,P03,2025-05-08,,Active,1,10.0
SUB0000386,CUST000338,P02,2024-04-03,,Active,1,5.0
SUB0000387,CUST000338,P01,2024-12-29,2025-06-25,Cancelled,1,0.0
SUB0000388,CUST000339,P01,2025-12-27,,Active,0,0.0
SUB0000389,CUST000340,P03,2024-08-27,,Active,1,0.0
SUB0000390,CUST000341,P01,2024-01-30,2026-01-28,Cancelled,1,0.0
SUB0000391,CUST000342,P02,2024-10-18,,Active,1,0.0
SUB0000392,CUST000342,P02,2025-05-30,2025-08-14,Cancelled,0,10.0
SUB0000393,CUST000343,P01,2025-01-25,,Active,1,0.0
SUB0000394,CUST000344,P02,2024-12-15,,Active,1,0.0
SUB0000395,CUST000345,P04,2025-10-27,,Active,1,0.0
SUB0000396,CUST000346,P01,2025-02-20,2025-11-13,Cancelled,1,0.0
SUB0000397,CUST000347,P02,2025-09-19,,Active,1,5.0
